iter	Passed	Remaining
0	0	31
1	0	34
2	0	31
3	1	30
4	1	29
5	1	28
6	2	27
7	2	26
8	2	25
9	2	25
10	3	24
11	3	24
12	3	23
13	3	22
14	3	22
15	4	21
16	4	21
17	4	22
18	5	21
19	5	21
20	5	21
21	5	20
22	6	20
23	6	20
24	6	19
25	6	19
26	7	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	14
39	9	14
40	9	14
41	10	14
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	13	9
60	14	9
61	14	8
62	14	8
63	14	8
64	14	8
65	15	7
66	15	7
67	15	7
68	15	7
69	15	6
70	16	6
71	16	6
72	16	6
73	16	5
74	16	5
75	17	5
76	17	5
77	17	4
78	17	4
79	18	4
80	18	4
81	18	4
82	18	3
83	18	3
84	19	3
85	19	3
86	19	2
87	19	2
88	20	2
89	20	2
90	20	2
91	20	1
92	21	1
93	21	1
94	21	1
95	21	0
96	22	0
97	22	0
98	22	0
99	22	0
